"scientificName","catalogNumber","institutionCode","year","month","day","decimalLongitude","decimalLatitude"
"Podocarpus salignus D.Don","E00420539","RBGE",2011,2,25,-71.404444,-36.315556
"Podocarpus salignus D.Don","E00420550","RBGE",2011,2,25,-71.405833,-36.321111
"Podocarpus salignus D.Don","E00158588","RBGE",2003,2,4,-72.916111,-36.693056
"Podocarpus salignus D.Don","20110571","E",2011,2,25,-71.404833,-36.315944
"Podocarpus salignus D.Don","E00158541","RBGE",2003,1,27,-72.689167,-35.979444
"Podocarpus salignus D.Don","20120412","E",2012,4,1,-71.626889,-36.892417
"Podocarpus salignus D.Don","20120415","E",2012,4,1,-71.62625,-36.890778
"Podocarpus salignus D.Don","20120414","E",2012,4,1,-71.626917,-36.89025
"Podocarpus salignus D.Don","20110355","E",2011,2,25,-71.403278,-36.312694
"Podocarpus salignus D.Don","E00420542","RBGE",2011,2,25,-71.403333,-36.312778
"Podocarpus salignus D.Don","20120413","E",2012,4,1,-71.626889,-36.892417
"Podocarpus salignus D.Don","E00158682","RBGE",2003,1,30,-71.402222,-36.327222
"Podocarpus salignus D.Don","272543339","iNaturalist",2025,4,19,-71.614211,-37.629347
"Podocarpus salignus D.Don","272350890","iNaturalist",2025,4,19,-71.556472,-36.895345
"Podocarpus salignus D.Don","270523174","iNaturalist",2025,4,13,-71.228517,-36.131022
"Podocarpus salignus D.Don","263637359","iNaturalist",2025,3,2,-71.719702,-36.846002
"Podocarpus salignus D.Don","","",2024,11,28,-73.775,-42.486
"Podocarpus salignus D.Don","","",2023,12,25,-72.528,-39.278
"Podocarpus salignus D.Don","","",2023,12,25,-72.527,-39.278
"Podocarpus salignus D.Don","267636107","iNaturalist",2025,3,28,-72.201183,-39.292561
"Podocarpus salignus D.Don","267143042","iNaturalist",2025,2,18,-72.415325,-35.326161
"Podocarpus salignus D.Don","266033654","iNaturalist",2025,2,4,-71.205458,-36.09658
"Podocarpus salignus D.Don","265780983","iNaturalist",2023,1,17,-71.67543,-36.820981
"Podocarpus salignus D.Don","263761469","iNaturalist",2025,3,2,-72.993298,-36.876396
"Podocarpus salignus D.Don","263401827","iNaturalist",2025,2,28,-71.418167,-36.260728
"Podocarpus salignus D.Don","263238770","iNaturalist",2025,2,16,-71.810423,-38.581261
"Podocarpus salignus D.Don","263663218","iNaturalist",2025,3,1,-70.962425,-35.192295
"Podocarpus salignus D.Don","263238749","iNaturalist",2025,2,16,-71.812753,-38.577032
"Podocarpus salignus D.Don","253105231","iNaturalist",2024,11,20,-72.618165,-35.998228
"Podocarpus salignus D.Don","251654557","iNaturalist",2024,11,13,-72.646253,-36.000247
"Podocarpus salignus D.Don","253083355","iNaturalist",2024,11,20,-72.617342,-35.998259
"Podocarpus salignus D.Don","253083120","iNaturalist",2024,11,20,-72.617629,-35.998076
"Podocarpus salignus D.Don","260307311","iNaturalist",2025,2,1,-72.942345,-36.67779
"Podocarpus salignus D.Don","260397622","iNaturalist",2025,1,11,-73.350967,-40.238953
"Podocarpus salignus D.Don","260307306","iNaturalist",2025,2,1,-72.943174,-36.678057
